batch,Dynamic,Dynamic_BAL,RFDynamic
1,1597.9631,1597.9631,1456.2259
2,882.2171,882.2171,882.9841
3,4754.6771,4754.6771,4754.6771
4,7058.0667,7058.0667,7058.0667
5,10086.1214,10086.1214,10086.1214
6,7820.1501,7820.1501,7820.1501
7,5938.7108,5938.7108,5938.7108
8,3452.4070,3452.4070,3452.4070
9,6033.4479,6033.4479,6033.4479
10,9696.9698,9696.9698,9696.9698
11,14042.1024,14042.1024,14042.1024
12,17042.9722,17042.9722,17042.9722
13,19002.8934,19002.8934,19002.8934
14,15420.1524,15420.1524,15420.1524
15,19389.1212,19389.1212,19389.1212
16,20292.4902,20292.4902,20292.4902
17,21228.6210,21228.6210,21228.6210
18,21121.2829,21121.2829,21121.2829
19,21865.2890,21865.2890,21865.2890
20,25365.8167,25365.8167,25365.8167
21,28502.5251,28502.5251,28502.5251
22,29423.0993,29423.0993,29423.0993
23,28870.5906,28870.5906,28870.5906
24,30917.7935,30917.7935,30917.7935
25,33386.1912,33386.1912,33386.1912
26,39188.7819,39188.7819,39188.7819
27,41418.2561,41418.2561,41418.2561
28,43522.5117,43522.5117,43522.5117
29,44063.0745,44063.0745,44063.0745
30,41761.7327,41761.7327,41761.7327
31,46158.8376,46158.8376,46158.8376
32,45756.8292,45756.8292,45756.8292
33,44256.0229,44256.0229,44256.0229
34,42787.2962,42787.2962,42787.2962
35,41721.9699,41721.9699,41721.9699
36,44546.4296,44546.4296,44546.4296
37,42225.8891,42225.8891,42225.8891
38,39901.0788,39901.0788,39901.0788
39,36322.1757,36322.1757,36322.1757
40,36685.8434,36685.8434,36685.8434
41,43348.1759,43348.1759,43348.1759
42,47336.4491,47336.4491,47336.4491
43,49350.3194,49350.3194,49350.3194
44,49075.8734,49075.8734,49075.8734
45,51215.2856,51215.2856,51215.2856
46,53980.8000,53980.8000,53980.8000
47,53134.1426,53134.1426,53134.1426
48,55437.4548,55437.4548,55437.4548
49,57325.1404,57325.1404,57325.1404
50,60372.5179,60372.5179,60372.5179
51,51788.7061,51788.7061,51788.7061
52,39473.2572,39473.2572,39473.2572
53,27870.3594,27870.3594,27870.3594
54,24249.8254,24249.8254,24249.8254
55,9951.1283,9951.1283,9951.1283
56,3763.6577,3763.6577,3763.6577
57,2315.4125,2315.4125,2315.4125
58,647.5979,647.5979,647.5979
59,2106.8109,2106.8109,2106.8109
60,792.2544,792.2544,792.2544
61,1659.0160,1659.0160,1659.0160
62,328.4433,328.4433,328.4433
63,441.8020,441.8020,441.8020
64,415.3372,415.3372,415.3372
65,506.3082,506.3082,521.7116
66,411.9114,411.9114,544.6586
67,3243.2368,3243.2368,4091.8273
68,5777.2368,5777.2368,651.2634
69,7169.5020,7169.5020,12433.5831
70,3563.6908,3563.6908,2766.9203
71,21508.9111,20352.7192,26086.0917
72,19008.1532,19008.1532,540.1268
73,2280.8691,2280.8691,3017.0315
74,4369.8677,4369.8677,2140.7162
75,14274.5450,14274.5450,636.2507
76,1395.3867,1395.3867,560.5078
77,18703.2800,19003.3431,1012.1848
78,6456.8652,6482.2513,2383.8410
79,4736.2020,4736.2020,636.5006
80,1191.6732,1191.6732,1501.1139
81,39316.1552,39316.1552,75537.9533
82,17038.5212,17038.5212,641.7920
83,8699.3915,8699.3915,61749.2242
84,4744.7889,4744.7889,565.2539
85,75150.3254,75149.7188,101996.4776
86,2718.8893,2718.8893,437.3260
87,80746.9904,80746.9904,90791.2455
88,5687.8020,5687.8020,366.4628
89,6388.5555,6388.5555,2910.7360
90,4252.8115,4252.8115,2625.6074
91,41370.4404,41370.4404,41629.0355
92,19167.1760,19167.1760,28161.7301
93,5303.5196,5303.5196,26081.0345
94,8302.7978,8302.7978,2428.0233
95,19086.4917,19086.4917,29162.5655
96,11179.0895,11179.0895,4578.1780
97,13033.9372,13033.9372,15151.3838
98,2437.8351,2437.8351,742.3099
99,4847.4666,4847.4666,1602.6740
100,4759.3365,4759.3365,1677.2829
