arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
30,13.000000,262144,12244308.780284
30,15.300000,32768,16307649.715047
30,19.700000,4096,23274317.142760
30,32.300000,512,39464087.535364
30,90.000000,18,58487223.688796
30,90.000000,27,56316878.154583
30,90.000000,36,53672199.150421
