frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,92652.200411,56441.000000,37.483330
4,207423.205495,124581.000000,34.029399
8,276457.168343,259774.000000,51.019604
16,278261.595056,216854.000000,28.178006
32,379445.054402,216315.000000,82.849261
64,161802.087521,96787.000000,416.431267
128,57939.018804,22781.000000,1614.050185
256,283598.476382,224492.000000,40575.235908
512,375428.648652,239343.000000,7229.958022
1024,144144.450486,104497.000000,3174.490668
2048,342242.235582,182482.000000,2093.637027
4096,253550.852042,92004.000000,14918.072496
8192,429035.609041,103902.000000,34845.625306
16384,164575.353152,76891.000000,89671.597610
32768,1522023.036590,135839.000000,1434881.439119
65536,546530.630183,216653.000000,196551.342743
