frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,133589.699779,115413.000000,1549.460874
4,173095.277896,139255.000000,118.342723
8,110676.976314,84326.000000,170.836179
16,218958.694858,138494.000000,236.254100
32,130408.617940,81363.000000,196.697738
64,356086.000656,263172.000000,115.273588
128,246380.483951,192670.000000,275.561245
256,408246.812219,208347.000000,1513.645269
512,160891.400003,88170.000000,5711.577453
1024,406126.473038,237092.000000,13872.673282
2048,490658.524486,212625.000000,41548.861104
4096,340453.919371,173516.000000,12832.742731
8192,428631.281381,117523.000000,241165.747247
16384,1299629.209371,178621.000000,1145798.590306
32768,1132480.156264,176039.000000,517512.760252
65536,5638653.704353,298821.000000,5594745.789536
