frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,142829214.309202,1216401.000000
4,147150647.947450,1230550.000000
8,124142710.583349,1061061.000000
16,125137103.375508,1101469.000000
32,137362340.611601,1176684.000000
64,127509295.773706,1094262.000000
128,145392293.207809,1255992.000000
256,134374797.979419,1163909.000000
512,133582739.166627,1166214.000000
1024,148649659.914472,1274377.000000
2048,170260831.710418,1356545.000000
4096,130279912.022433,1162089.000000
8192,137185342.310666,1205916.000000
16384,126647642.787784,1137539.000000
32768,129906631.973973,1100116.000000
65536,168425090.434246,1486015.000000
