frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,132480577.126337,1149245.000000
4,124900355.928776,1083731.000000
8,131834200.506121,1140245.000000
16,126652554.991209,1095170.000000
32,143944661.031719,1221166.000000
64,128388712.839562,1123004.000000
128,131624764.894379,1145829.000000
256,131193908.381130,1128307.000000
512,150118238.105080,1290007.000000
1024,134349019.237409,1178755.000000
2048,130406613.956784,1141243.000000
4096,139422444.852711,1192010.000000
8192,159549226.986422,1349529.000000
16384,167287944.637454,1537825.000000
32768,145674874.884573,1246140.000000
65536,88353904.924755,631854.000000
