frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,125815060.721154,1072186.000000
4,152013940.821922,1284433.000000
8,172032897.838355,1419807.000000
16,132980125.624887,1147246.000000
32,136503755.730136,1156808.000000
64,139277626.988974,1245011.000000
128,137611066.335110,1184355.000000
256,137256600.594795,1190486.000000
512,134737279.074056,1158541.000000
1024,144056684.726119,1223979.000000
2048,120633481.600204,1079399.000000
4096,169047894.462864,1374702.000000
8192,124570252.160482,1074609.000000
16384,138772370.916817,1246857.000000
32768,153020419.813337,1178013.000000
65536,128039759.640661,1258592.000000
