frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,162855900.546728,1322129.000000
4,143904157.633749,1260435.000000
8,134516625.310975,1172205.000000
16,161149129.249620,1415229.000000
32,139833712.357849,1198730.000000
64,140210888.431399,1198061.000000
128,135636598.051913,1150355.000000
256,153635327.969149,1296091.000000
512,141214510.995792,1223423.000000
1024,150491140.121932,1263006.000000
2048,150321996.227463,1260814.000000
4096,182186266.658878,1523057.000000
8192,132828698.257750,1172636.000000
16384,141619040.654150,1171976.000000
32768,131659299.811997,1192074.000000
65536,143893683.000400,1216760.000000
