frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,139410706.241194,1159135.000000
4,192818055.361273,1529229.000000
8,146040333.281464,1232520.000000
16,128248165.716103,1109327.000000
32,146574336.273712,1241780.000000
64,140268445.659678,1216902.000000
128,144150738.672481,1215144.000000
256,130865122.042728,1181028.000000
512,138935219.198182,1178895.000000
1024,130039796.761897,1132665.000000
2048,148839289.843836,1268817.000000
4096,125517939.341717,1078920.000000
8192,146560960.642314,1330978.000000
16384,121784575.961113,1090630.000000
32768,117662868.959147,1014295.000000
65536,149021766.014092,1215184.000000
