frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,143186378.572272,1212915.000000
4,142005466.547170,1258419.000000
8,130758362.023119,1123357.000000
16,138785606.679503,1194381.000000
32,128666386.240800,1195162.000000
64,131731961.667420,1143579.000000
128,130459652.320854,1115750.000000
256,134893216.792467,1203202.000000
512,139448877.397590,1204252.000000
1024,132501993.777090,1137376.000000
2048,121705304.621189,1078934.000000
4096,144374401.226864,1250099.000000
8192,132092872.572808,1235623.000000
16384,146359229.802616,1261198.000000
32768,222973416.881540,1732079.000000
65536,117030843.379405,1148848.000000
