frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,131760897.729890,1126331.000000
4,130962429.680239,1142322.000000
8,128505915.926211,1133287.000000
16,142895263.888897,1222744.000000
32,148479137.089740,1338070.000000
64,165766013.598220,1371195.000000
128,146916495.001794,1292388.000000
256,139617986.413562,1215413.000000
512,130382947.197429,1159924.000000
1024,138397009.791514,1200641.000000
2048,126878253.559318,1072411.000000
4096,124804067.673446,1117901.000000
8192,142980519.819646,1213201.000000
16384,104477523.799437,865737.000000
32768,197247791.523052,1584608.000000
65536,147438068.996704,1152316.000000
