frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,126177006.799632,1101116.000000
4,127454729.231942,1097950.000000
8,136995946.872402,1160404.000000
16,130409317.722425,1131213.000000
32,140204305.269856,1194138.000000
64,131669194.126522,1172999.000000
128,139757076.955173,1300600.000000
256,132704489.999978,1141139.000000
512,132323208.202040,1185973.000000
1024,142031199.517696,1214155.000000
2048,133703307.740916,1171536.000000
4096,143468854.631741,1195376.000000
8192,146251339.870724,1255569.000000
16384,125133511.779460,1096814.000000
32768,132659720.531728,1149218.000000
65536,140977784.434455,1253000.000000
