frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,128620902.557676,1090222.000000
4,134332910.063986,1177630.000000
8,139714130.352523,1220125.000000
16,136690830.497663,1200284.000000
32,137409005.756040,1166286.000000
64,142916980.046478,1251817.000000
128,134020901.505712,1145448.000000
256,134440990.182977,1182763.000000
512,122072891.921866,1078316.000000
1024,143676230.427274,1263400.000000
2048,122728352.232730,1043508.000000
4096,133716503.722614,1118656.000000
8192,115958889.755312,1010687.000000
16384,145945824.582252,1209740.000000
32768,131368717.852338,1136589.000000
65536,148368701.873083,1120335.000000
