frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1973788.219860,294501.000000,264.743272
4,598336.171027,143742.000000,71.112587
8,1266484.676984,175215.000000,933.832962
16,759954.344998,253329.000000,2681.327470
32,2708042.250150,301637.000000,144.301767
64,2520193.320033,267274.000000,1984.258804
128,2532224.856776,296439.000000,4022.167823
256,2669876.291272,293660.000000,73524.700863
512,2302064.841223,277814.000000,376321.289497
1024,2206921.893296,291247.000000,715885.281328
2048,3582635.598005,297478.000000,1266195.231354
4096,3148876.534842,298034.000000,181832.787824
8192,2443895.201482,173413.000000,1163727.478571
16384,3712331.855137,268935.000000,2516414.649936
32768,539404.863966,76696.000000,476341.130767
65536,4190783.218221,298416.000000,3095241.904378
