frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1171901.360217,206500.000000,3627.864523
4,2056645.751171,285506.000000,502.374362
8,1795708.439710,288393.000000,154.347012
16,1882279.860456,257148.000000,884.355132
32,2803223.789986,298299.000000,729.279782
64,1559177.165558,292513.000000,2814.273263
128,2441372.133837,298703.000000,15202.832401
256,2545289.418458,295742.000000,360891.765311
512,3282130.801509,302853.000000,114998.644005
1024,2458693.541364,268069.000000,371386.673234
2048,3166788.966564,287166.000000,830542.354930
4096,2825594.862077,287442.000000,648803.643695
8192,2333297.146848,286464.000000,863284.332341
16384,2977275.576786,297818.000000,1140989.040089
32768,3673656.234804,302273.000000,1664340.305913
65536,4191662.519690,301809.000000,2260176.571770
