frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,2310190.321914,293212.000000,135.329228
4,2141454.291439,261894.000000,109674.037105
8,1208069.153851,268248.000000,244.329695
16,2332583.541535,282867.000000,345.347651
32,2428544.300286,301315.000000,2364.105962
64,2400630.818337,298424.000000,32957.393055
128,2810805.651350,275359.000000,22225.213925
256,3178470.857618,304035.000000,376166.082779
512,2791556.502868,295259.000000,49552.074669
1024,2843686.806601,286016.000000,436238.223290
2048,1476277.600829,284599.000000,282477.311252
4096,2266341.095534,252681.000000,174725.652682
8192,2517047.246919,287881.000000,576579.234343
16384,2111110.542297,212848.000000,660740.043122
32768,519754.884883,81662.000000,0.000000
65536,303454.903017,83980.000000,0.000000
