frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,462412.840300,207159.000000,82.024387
4,1173207.743739,298841.000000,301.013289
8,2332464.194489,288945.000000,1415.551483
16,1981435.707019,294256.000000,7836.621275
32,2563302.973342,300129.000000,521.412505
64,2029248.578661,292908.000000,54202.796727
128,3516171.085599,297260.000000,214674.895656
256,2590818.171179,290960.000000,295584.125264
512,1761001.987685,273825.000000,31126.902849
1024,2839333.319243,299125.000000,282485.762586
2048,3112784.619428,289487.000000,117984.483632
4096,3720423.337772,297976.000000,1457183.526901
8192,3639937.635854,293520.000000,1231236.938360
16384,2240393.907346,230864.000000,1137463.191721
32768,1642716.561307,163864.000000,885002.724535
65536,7570993.675726,293703.000000,7303207.244773
