frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1796223.180620,296828.000000,137.658999
4,1992591.896278,280542.000000,394.739154
8,997976.727984,161737.000000,2113.458067
16,2176659.937421,296231.000000,257720.669458
32,1796980.531964,293501.000000,82137.165230
64,2131429.215510,287243.000000,4828.420135
128,2046330.118971,297569.000000,216287.282204
256,2577089.667602,262752.000000,519822.369604
512,3656992.702154,300962.000000,62752.848007
1024,3428350.579205,277023.000000,192250.152988
2048,1986510.244621,217037.000000,481896.065546
4096,2567072.627939,293492.000000,656120.792297
8192,3369316.871151,292287.000000,366184.874606
16384,1800658.498528,153327.000000,856198.540861
32768,2994423.832523,210842.000000,2715414.083493
65536,5489809.491681,279664.000000,4839541.668528
