arrival_rate,Rdynamic/RR_ratio,Rdynamic/SRPT_ratio,Dynamic/SRPT_ratio,Rdynamic/SETF_ratio,Rdynamic/FCFS_ratio,Rdynamic/RMLF_ratio,Rdynamic/Dynamic_ratio
20,0.3101850119860233,2.2484207655874715,1.1645193827921705,0.8515518896194769,0.4133527182663464,1.3384737314999229,1.930771439970736
22,0.4876282603121699,2.315830030624611,1.1517363706412425,0.9559730854314332,0.8137173448563072,1.3956129842104543,2.0107292690038485
24,0.6161891462874306,1.853701511396472,1.0728805798175154,0.9595565216119464,1.0508217494856718,1.104745952910572,1.7277799097750142
26,0.3770829474960165,2.240063229148136,1.0625580795483307,0.8581208530474306,0.5750841957678409,1.3554649768307838,2.1081795642647
28,0.383061467742588,2.312952004918715,1.7366626911941123,1.036274510008622,0.6201769305852062,1.3877037067223237,1.331837216660854
30,0.5873828517994145,2.1639484732962977,1.0104616210850197,0.9820694842170624,0.9933031480328676,1.2834951015575102,2.1415444467575915
32,0.3910052394136592,2.4422387443298934,1.1803592962701055,1.0205461313525634,0.6662865992530224,1.444600196313815,2.069063845260747
34,0.2287237027219514,2.1429196333435,1.0861849793689593,1.119526170385125,0.6484782385078871,1.3199164294009047,1.9728864549282128
36,0.3272755459489756,2.340592194437254,1.1690852534278235,1.1885248786372409,1.0724280715770953,1.3569473591202728,2.002071437967852
38,0.4691369367107962,2.327955717409052,1.141021895859546,1.1792001317622347,1.0707871097387538,1.365513557021561,2.0402375500913363
40,0.040630506321593804,1.667499535881189,1.034222780555773,0.7815446380387594,0.5382752633947122,0.9279994716544805,1.61232141394633
