arrival_rate,Rdynamic/RR_ratio,Rdynamic/SRPT_ratio,Dynamic/SRPT_ratio,Rdynamic/SETF_ratio,Rdynamic/FCFS_ratio,Rdynamic/RMLF_ratio,Rdynamic/Dynamic_ratio
20,0.3089241252016197,2.239281046002195,1.065463890287829,0.848090373161991,0.4116724598411494,1.3330329017560416,2.1016958588782075
22,0.6013956202362176,2.856130685981056,2.0160273973669702,1.1790088340534577,1.003563753654361,1.7212200451869866,1.416712237994038
24,0.5893860844525187,1.7730690034518202,1.0627361729656022,0.9178176287122314,1.0051129918766946,1.0566915944945956,1.6683999741008249
26,0.4536578918989736,2.6949570883644536,1.0,1.0323810709901131,0.691867626602795,1.6307218027631452,2.6949570883644536
28,0.3515209056114277,2.122507878947389,1.0,0.9509496122566293,0.5691127263813537,1.273442788652305,2.122507878947389
30,0.6069559970163775,2.2360569415297515,0.9875332270978944,1.014794628590689,1.0264026277016287,1.3262645421890946,2.26428527179885
32,0.3425105956861107,2.139338716745874,1.0,0.8939723260457962,0.5836500307516173,1.265432848188153,2.139338716745874
34,0.2613775270275101,2.4488543501017173,1.093009008450209,1.2793557395910382,0.7410584748988507,1.5083547883062454,2.240470418056277
36,0.3128910151217583,2.2377176564781114,1.020724574204588,1.13628641179396,1.02529233275847,1.2973063277026065,2.1922835141123937
38,0.4517348732919316,2.2416030347260545,1.0,1.1354591387371853,1.0310675657556638,1.314861494352581,2.2416030347260545
40,0.0441265949169957,1.8109810387718857,1.0459256195606914,0.848793351953818,0.584591644358468,1.0078500239392787,1.7314625484865094
