frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,605716.057026,284728.000000,20.000000
4,265252.285751,124110.000000,76.948034
8,384000.961546,165369.000000,40588.691861
16,425052.807860,182715.000000,59.866518
32,513241.478988,198786.000000,5129.237663
64,962086.336729,285454.000000,1897.588206
128,621966.651377,257087.000000,733.961171
256,898226.516632,282157.000000,26999.440142
512,946488.712076,310535.000000,22683.949105
1024,707748.013504,282199.000000,85490.976951
2048,789459.626075,211463.000000,127492.190157
4096,1112225.230376,274341.000000,660823.721722
8192,454531.004631,122204.000000,253735.969454
16384,1325147.016776,115255.000000,1114957.949466
32768,1230439.893400,227344.000000,624763.704369
65536,864272.334334,277179.000000,844664.490055
