frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,718833.756563,298802.000000,0.000000
4,86797.740639,45497.000000,0.000000
8,478894.492296,309363.000000,0.000000
16,115774.495395,81750.000000,0.000000
32,414537.871927,265461.000000,0.000000
64,302678.568098,159758.000000,0.000000
128,467879.206823,248126.000000,0.000000
256,206944.278244,104112.000000,0.000000
512,944166.138182,311430.000000,0.000000
1024,396656.889686,127448.000000,0.000000
2048,650670.058532,373214.000000,0.000000
4096,542875.800873,280719.000000,0.000000
8192,817799.604280,297525.000000,0.000000
16384,594748.116836,188173.000000,0.000000
32768,1266012.791042,307637.000000,0.000000
65536,1444682.219235,291395.000000,0.000000
