frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,200246.611195,101448.000000,0.000000
4,536309.083904,220747.000000,0.000000
8,865782.507440,280713.000000,0.000000
16,376383.544681,114629.000000,0.000000
32,355866.826250,187711.000000,0.000000
64,348628.848739,243204.000000,0.000000
128,520458.097071,235351.000000,0.000000
256,760839.139631,287840.000000,0.000000
512,490406.293152,216336.000000,0.000000
1024,798362.774033,217272.000000,0.000000
2048,1376888.321397,219357.000000,0.000000
4096,446606.816758,81915.000000,0.000000
8192,1038294.108411,196499.000000,0.000000
16384,1041608.066521,274920.000000,0.000000
32768,1834796.290622,297323.000000,0.000000
65536,3221155.715890,293963.000000,0.000000
