frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,402858.783749,143350.000000,3343.623783
4,164148.233774,105489.000000,37.202150
8,165522.408939,111778.000000,312.408387
16,169056.690155,69806.000000,110.521491
32,485225.596330,199944.000000,439.061499
64,633991.323053,211642.000000,3914.908556
128,733324.388113,268059.000000,262.206026
256,525763.100146,182350.000000,6017.042130
512,840172.831889,260285.000000,263365.257604
1024,711239.251894,284368.000000,47931.482764
2048,744317.505104,229688.000000,141943.770754
4096,754230.722405,226244.000000,219278.672013
8192,1431559.361842,216691.000000,396445.305412
16384,2359003.602933,242203.000000,875684.640853
32768,985717.933628,279160.000000,79797.726760
65536,3583482.438227,237659.000000,3138055.122498
