frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,730710.882167,243638.000000,0.000000
4,212847.928324,97933.000000,0.000000
8,278250.092372,107300.000000,0.000000
16,766445.075866,243139.000000,0.000000
32,536006.192169,251097.000000,0.000000
64,508998.368501,304290.000000,0.000000
128,783068.964164,293464.000000,0.000000
256,724087.316184,264778.000000,0.000000
512,754313.229735,289754.000000,0.000000
1024,421318.364483,195666.000000,0.000000
2048,1054883.202561,289643.000000,0.000000
4096,1428063.148388,268491.000000,0.000000
8192,984146.226541,191185.000000,0.000000
16384,706825.064152,193702.000000,0.000000
32768,2146315.602447,173260.000000,0.000000
65536,712310.410801,79964.000000,0.000000
