frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,404924.382016,291870.000000,0.000000
4,237253.188476,215344.000000,0.000000
8,111463.046486,89791.000000,0.000000
16,422646.672695,280923.000000,0.000000
32,552967.300610,257428.000000,0.000000
64,256687.513900,135960.000000,0.000000
128,410530.436943,237922.000000,0.000000
256,540755.291401,260437.000000,0.000000
512,302976.591586,201051.000000,0.000000
1024,542660.944220,323819.000000,0.000000
2048,290346.225240,230421.000000,0.000000
4096,296698.407141,180198.000000,0.000000
8192,420527.318651,263146.000000,0.000000
16384,401342.480840,293282.000000,0.000000
32768,254470.102417,116881.000000,0.000000
65536,137286.548616,62515.000000,0.000000
