frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,127782.278497,70986.000000,21.470911
4,116424.829203,77073.000000,92.514864
8,180809.368776,103809.000000,74.114776
16,342066.605329,151585.000000,2435.951354
32,653682.154848,231465.000000,44.000000
64,593973.537352,242680.000000,1056.657466
128,856153.537118,290245.000000,3741.103714
256,855715.044636,304918.000000,17334.960629
512,377561.124010,241432.000000,5425.706590
1024,777646.061493,290693.000000,139262.620796
2048,364244.867816,205483.000000,54482.292004
4096,543831.971788,160838.000000,162798.102655
8192,1141421.396763,286392.000000,424859.219256
16384,561322.999469,111143.000000,237542.588855
32768,410753.863905,185809.000000,378449.924728
65536,1017477.334067,163535.000000,589810.384712
