frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,239579.901498,228738.000000,81.645576
4,407006.321754,297601.000000,51.845926
8,109362.427863,67977.000000,1588.414933
16,134541.489177,90446.000000,22.068076
32,182499.950016,161821.000000,1061.282243
64,426468.516233,289629.000000,6742.623303
128,650418.604179,310143.000000,526.353493
256,382879.166474,244135.000000,696.645534
512,523105.026130,311550.000000,1204.808284
1024,377386.771623,278321.000000,20420.599722
2048,423077.870625,214905.000000,28074.674424
4096,455813.859805,234711.000000,35140.666684
8192,183038.646056,102072.000000,38216.901575
16384,368802.152750,259886.000000,50667.026309
32768,504890.989987,259542.000000,352678.577264
65536,665807.176910,228535.000000,565016.086578
