frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,409919.046003,228346.000000,363.017906
4,133106.714699,94054.000000,81.197291
8,279168.600999,163731.000000,104.780723
16,110435.628716,61501.000000,31.288976
32,190787.360208,106909.000000,1151.009122
64,306404.816599,269015.000000,222.883378
128,487642.874501,299089.000000,272.932226
256,391662.946731,194543.000000,454.132139
512,318714.413951,230631.000000,6991.706015
1024,467174.471434,269089.000000,23606.365392
2048,353932.492120,152672.000000,73921.935337
4096,379574.366105,200575.000000,4423.023400
8192,341505.067971,138184.000000,112396.266539
16384,253918.708381,127325.000000,143087.695830
32768,296604.342266,115451.000000,28876.388330
65536,841574.039903,177454.000000,761391.603145
