Round,Algorithm_Used
1,RMLF
2,FCFS
3,RMLF
4,RMLF
5,RMLF
6,FCFS
7,RMLF
8,RMLF
9,FCFS
10,RMLF
11,FCFS
12,RMLF
13,RMLF
14,FCFS
15,RMLF
16,RMLF
17,RMLF
18,RMLF
19,RMLF
20,RMLF
21,RMLF
22,FCFS
23,RMLF
24,RMLF
25,RMLF
26,RMLF
27,RMLF
28,RMLF
29,RMLF
30,RMLF
31,RMLF
32,RMLF
33,FCFS
34,RMLF
35,RMLF
36,RMLF
37,RMLF
38,RMLF
39,RMLF
40,RMLF
41,FCFS
42,RMLF
43,RMLF
44,RMLF
45,RMLF
46,RMLF
47,RMLF
48,RMLF
49,RMLF
50,RMLF
51,RMLF
52,RMLF
53,RMLF
54,RMLF
55,FCFS
56,RMLF
57,RMLF
58,RMLF
59,RMLF
60,RMLF
61,RMLF
62,RMLF
63,RMLF
64,RMLF
65,RMLF
66,RMLF
67,RMLF
68,RMLF
69,RMLF
70,RMLF
71,RMLF
72,RMLF
73,RMLF
74,RMLF
75,RMLF
76,FCFS
77,RMLF
78,RMLF
79,RMLF
80,RMLF
81,RMLF
82,RMLF
83,RMLF
84,RMLF
85,RMLF
86,RMLF
87,RMLF
88,RMLF
89,RMLF
90,RMLF
91,RMLF
92,RMLF
93,RMLF
94,RMLF
95,RMLF
96,RMLF
97,RMLF
98,RMLF
99,RMLF
100,RMLF
101,FCFS
102,RMLF
103,RMLF
104,RMLF
105,RMLF
106,RMLF
