frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,137642.398686,132996.000000
128,371217.928025,71827.000000
16384,340267.779271,66633.000000
16,462568.018198,97133.000000
2048,51721.776313,20948.000000
256,41355.399381,33115.000000
2,410251.815488,92300.000000
32768,245710.497731,73826.000000
32,21396.664039,15212.000000
4096,255011.359994,68630.000000
4,171001.550227,43228.000000
512,464737.046721,76687.000000
64,288808.168840,54390.000000
65536,13587.236842,9911.000000
8192,633780.976119,87505.000000
8,9020.332200,6093.000000
