frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,143335.368800,44948.000000
128,7605.796868,3265.000000
16384,431122.330571,71338.000000
16,222701.961312,52674.000000
2048,38270.190998,6490.000000
256,505165.909444,102922.000000
2,247517.268979,48651.000000
32768,125051.805937,52414.000000
32,233495.252693,45887.000000
4096,8853.791956,7228.000000
4,431043.039541,75775.000000
512,337335.736974,44889.000000
64,21072.188709,18428.000000
65536,203965.033393,46002.000000
8192,428945.054392,55309.000000
8,390567.962885,68687.000000
