frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,377676.616934,65445.000000
128,398360.961199,93181.000000
16384,169464.347227,45944.000000
16,19352.065600,11193.000000
2048,87259.247321,26942.000000
256,439993.052270,73113.000000
2,261885.423380,58172.000000
32768,554913.789982,30617.000000
32,198172.634246,50286.000000
4096,187899.338570,43178.000000
4,432523.137372,81485.000000
512,311908.587803,65284.000000
64,11179.760328,7012.000000
65536,754243.104348,73783.000000
8192,12980.179544,11376.000000
8,57102.582306,38528.000000
