frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,127578.109486,44198.000000
128,172240.221005,52202.000000
16384,40421.542363,17478.000000
16,6127.142564,3706.000000
2048,370196.116873,64997.000000
256,160611.444013,51834.000000
2,11621.392429,7918.000000
32768,66389.688258,28494.000000
32,6090.508025,3684.000000
4096,97560.148585,21091.000000
4,217239.719359,50817.000000
512,43126.998817,27354.000000
64,32061.705288,25693.000000
65536,111420.039086,41954.000000
8192,15571.265395,13448.000000
8,11535.978762,6699.000000
