frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,157825.870367,47503.000000
128,320131.570485,64152.000000
16384,232150.215970,51197.000000
16,384792.157540,55088.000000
2048,569093.415396,88644.000000
256,250323.755990,57577.000000
2,7620.494341,4986.000000
32768,211698.758464,56639.000000
32,208373.407581,46031.000000
4096,76534.473932,21631.000000
4,409868.866957,69991.000000
512,404021.230466,86057.000000
64,7915.239542,5358.000000
65536,31572.247038,15423.000000
8192,524894.914021,34760.000000
8,30998.425460,29226.000000
