frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,406804.967038,81419.000000
128,31031.213350,19643.000000
16384,47477.855786,19717.000000
16,505158.209274,86562.000000
2048,97936.917529,56177.000000
256,5212.351389,1773.000000
2,19807.610053,14737.000000
32768,410252.681289,75746.000000
32,238721.478326,51057.000000
4096,474680.414576,37606.000000
4,420745.318196,77195.000000
512,20441.071718,17563.000000
64,57349.032163,27668.000000
65536,110723.224745,27724.000000
8192,576117.548036,88242.000000
8,28960.445421,25585.000000
