frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,405295.305450,81397.000000
128,235676.581310,44807.000000
16384,41449.451299,22488.000000
16,420657.799292,70854.000000
2048,215329.517891,42700.000000
256,224860.514998,52806.000000
2,5557.617835,2118.000000
32768,434945.042085,53359.000000
32,428843.258120,85971.000000
4096,68065.903050,36835.000000
4,244644.562004,67162.000000
512,253710.065476,39250.000000
64,194552.914900,44791.000000
65536,33572.546701,28620.000000
8192,44180.418411,23258.000000
8,9743.894396,4383.000000
