frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,169882.380452,47485.000000
128,383678.145466,71156.000000
16384,290105.681678,45937.000000
16,211314.801763,50637.000000
2048,406519.714104,78096.000000
256,204167.580093,43613.000000
2,430622.951869,64200.000000
32768,265219.023456,66507.000000
32,399970.912566,71446.000000
4096,15046.999734,12242.000000
4,22875.629106,18604.000000
512,238923.456339,58288.000000
64,432923.327580,88263.000000
65536,224880.195620,60131.000000
8192,568911.641440,78511.000000
8,24795.771877,21067.000000
