frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,228181.418106,47935.000000
128,38080.861689,21629.000000
16384,222053.984979,53821.000000
16,7685.934881,4635.000000
2048,268966.576286,43873.000000
256,14357.228319,6387.000000
2,432624.046637,83034.000000
32768,3391.655053,708.000000
32,282961.069022,56004.000000
4096,281006.251530,57633.000000
4,246612.177212,53294.000000
512,524351.171786,81452.000000
64,399032.675950,66680.000000
65536,5014.645551,1504.000000
8192,173729.080128,43094.000000
8,191378.571888,55891.000000
