frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,28062.243495,26634.000000
128,375770.674010,57315.000000
16384,19818.856349,13803.000000
16,260578.506748,55061.000000
2048,511988.092448,66515.000000
256,23136.739701,12703.000000
2,382066.864655,70927.000000
32768,326556.566340,83372.000000
32,9390.204950,5141.000000
4096,551221.986234,93961.000000
4,25429.662109,15989.000000
512,25507.265494,20614.000000
64,407870.874259,80529.000000
65536,839304.949724,79978.000000
8192,546828.240083,58225.000000
8,7424.290202,3604.000000
