frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,24633674.322445,542746.000000,23556.003842
4,25441829.113448,554607.000000,233585.034257
8,24635891.292915,540814.000000,482526.684080
16,25178698.401596,550471.000000,941755.768281
32,26116236.451071,555171.000000,959076.974583
64,24680896.070425,548611.000000,1415013.013490
128,25163745.071145,547140.000000,1594317.871107
256,25666438.685376,557982.000000,1285235.960057
512,25760892.709595,554135.000000,1740266.181858
1024,25237768.618937,535875.000000,6303511.248511
2048,24708223.291546,541809.000000,3055273.061370
4096,27692666.577731,572662.000000,3149211.917117
8192,26849928.921420,585820.000000,4653995.081477
16384,31402700.146707,619454.000000,6954343.149196
32768,34481476.749769,659145.000000,19115681.147289
65536,31194126.913634,642785.000000,16882533.651288
