frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,25482657.173096,553083.000000,99.904955
4,25110061.284422,551756.000000,72.546537
8,25202042.944287,553439.000000,944791.425483
16,24836547.200784,540103.000000,275655.539242
32,25252217.964945,551299.000000,597751.925094
64,25305167.304265,549790.000000,1201215.970969
128,25301655.167857,550102.000000,1767498.824349
256,24340353.853715,534264.000000,2356208.962073
512,24749049.844714,530185.000000,3250776.673209
1024,23723959.289839,527327.000000,1933569.678264
2048,22672762.017489,510848.000000,2926625.449439
4096,25055511.779743,532754.000000,8010173.728053
8192,23582520.739331,533245.000000,8033567.690145
16384,21002838.339300,465783.000000,9184751.076462
32768,38013047.344032,730844.000000,11414702.756829
65536,18331067.352050,420230.000000,0.000000
