frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,24872046.678872,547592.000000,321757.000000
4,24891362.461633,547999.000000,486842.702159
8,24835482.997071,543144.000000,531735.204642
16,24893549.865879,547852.000000,408486.639570
32,25165750.345032,551154.000000,581385.282905
64,25346120.164626,551438.000000,950460.672450
128,24556448.465839,539410.000000,1177348.211576
256,25040030.151593,546327.000000,2320526.950082
512,25517186.250873,550207.000000,1542290.498335
1024,24992753.262677,538013.000000,2834444.741848
2048,24043877.321693,532845.000000,4558727.145224
4096,19627505.170759,472296.000000,3678455.252433
8192,22239353.200822,495491.000000,7068502.288928
16384,27074083.665697,559022.000000,4404996.646399
32768,22592921.827621,504168.000000,13496043.460691
65536,40008974.191215,748716.000000,19455812.729271
