frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,451709.974365,165969.000000
4,320434.099613,201299.000000
8,16873282.510983,646487.000000
16,16386298.659412,548138.000000
32,517170.623212,306413.000000
64,31885332.885992,875127.000000
128,583753.139819,242564.000000
256,782041.094944,275277.000000
512,331888.541506,97671.000000
1024,39727232.356201,882320.000000
2048,14844621.711644,562231.000000
4096,21369231.215047,573708.000000
8192,42955765.756928,755195.000000
16384,1167235.160666,46090.000000
32768,21183792.368829,492786.000000
65536,58914316.944613,888984.000000
