frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,32628613.088728,835965.000000
4,16565595.838545,554511.000000
8,465977.064059,255538.000000
16,32964887.578998,832171.000000
32,374792.216017,164775.000000
64,244253.373819,116777.000000
128,458194.857274,198293.000000
256,423024.272892,178879.000000
512,34249460.805291,840313.000000
1024,18072253.654544,572735.000000
2048,31829746.327075,825488.000000
4096,588512.534683,102786.000000
8192,13551389.348952,573573.000000
16384,852220.019713,111247.000000
32768,394934.406389,86355.000000
65536,55672362.776294,842859.000000
