frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,16855884.744960,551728.000000
4,71911.394257,21073.000000
8,33675158.282518,837750.000000
16,164738.803817,73692.000000
32,34250758.082505,881221.000000
64,18059105.090888,574744.000000
128,17433010.831905,559593.000000
256,15625659.810314,535173.000000
512,30745948.755987,854410.000000
1024,315861.061188,85881.000000
2048,1127331.678035,222083.000000
4096,30819949.020767,836723.000000
8192,23634021.489854,555739.000000
16384,19632994.746093,437125.000000
32768,19467456.744437,756013.000000
65536,7024669.113372,658333.000000
