frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,16804600.602723,549420.000000
4,15539712.341918,569343.000000
8,123474.942579,60613.000000
16,33529840.640397,794397.000000
32,17394810.485729,570779.000000
64,32981197.351936,951152.000000
128,304830.721050,126586.000000
256,16670332.105667,526291.000000
512,17207572.151096,512695.000000
1024,857314.761603,257569.000000
2048,37113394.666399,764457.000000
4096,22152372.178665,517096.000000
8192,916914.171556,208858.000000
16384,16150718.839849,431459.000000
32768,19627896.148624,508519.000000
65536,52954169.887896,834261.000000
