frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,15928456.239791,523628.000000
4,142424.775541,50198.000000
8,16979340.947843,559708.000000
16,213665.550487,113404.000000
32,33143236.144916,908664.000000
64,32978559.588258,857461.000000
128,16868619.563267,579686.000000
256,37978848.519602,856959.000000
512,26871113.981789,876513.000000
1024,211450.537386,19237.000000
2048,18067290.242901,562378.000000
4096,37316405.682779,835433.000000
8192,34529557.656604,725425.000000
16384,27073241.296664,477029.000000
32768,814369.592869,35124.000000
65536,2648706.520610,73770.000000
