frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,14200405.492943,537976.000000,322893.199403
4,14210178.781436,543708.000000,5147.097143
8,14524634.631263,550683.000000,150.203196
16,14367818.771251,544420.000000,249596.777527
32,14305275.804580,535754.000000,1244.804402
64,14884804.094152,550041.000000,754488.754334
128,14580677.837267,539342.000000,1890618.885362
256,15124136.228476,552185.000000,916347.948810
512,14384258.902344,539870.000000,1354261.838888
1024,15892832.757244,557411.000000,2702995.781492
2048,13374228.163247,525791.000000,1860848.604619
4096,11540036.876617,476635.000000,3992714.561686
8192,14336900.012633,547216.000000,3911432.030284
16384,9467639.730742,410782.000000,100838.177616
32768,10706747.581765,406621.000000,7595125.653277
65536,25512424.938904,730759.000000,23250949.996174
