frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,14723451.291239,546696.000000,219029.013628
4,14158883.946484,539687.000000,420273.507391
8,14331923.392225,541266.000000,199587.985713
16,14770498.028578,542511.000000,312210.567254
32,14138789.541116,532659.000000,553725.652571
64,14556433.075652,545153.000000,785014.394039
128,14220976.611835,539553.000000,779504.680252
256,14197652.482523,529744.000000,1764925.551775
512,15380943.536271,556446.000000,540384.316964
1024,14069422.916841,513314.000000,1413748.946092
2048,15561975.180010,554627.000000,1658061.862594
4096,16378155.040812,569720.000000,7138735.811683
8192,11223432.464980,443505.000000,3542882.045902
16384,12712626.790133,476368.000000,7917259.197429
32768,13537833.465713,456493.000000,9753909.971221
65536,16482072.777359,513666.000000,1177635.180995
