frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,14297364.498726,545218.000000,373275.893492
4,14407232.165640,536527.000000,233089.665515
8,14222471.362802,546496.000000,89102.002245
16,14379719.681693,545656.000000,331362.636770
32,15045718.765312,551653.000000,64803.077990
64,14654899.935517,541460.000000,591279.820157
128,15493932.889210,557717.000000,654236.752846
256,13700028.654585,529616.000000,346024.195092
512,14042432.123022,543000.000000,7455.386509
1024,16031906.404324,565745.000000,4502086.991362
2048,14693076.598744,516339.000000,3897963.606362
4096,12172715.164919,475275.000000,4148594.400291
8192,14459817.234901,514908.000000,3196186.149700
16384,7521948.681651,379440.000000,474091.243409
32768,18604454.222701,586789.000000,6626089.454850
65536,23439374.716842,691182.000000,14694530.889828
