mean_inter_arrival_time,L2_norm_flow_time
20.0,187566764.99174494
22.0,177486131.12223393
24.0,168222905.48441342
26.0,160061686.12276086
28.0,150594553.89043826
30.0,141272871.56420463
32.0,131117557.1687918
34.0,122366877.16049853
36.0,114661464.00465314
38.0,103324796.99317789
40.0,94248433.07968715
