coherence_time,L2_norm_flow_time
2,136639196.5698072
4,142393059.9764296
8,137415431.9409227
16,135281389.2910153
32,144044446.8640971
64,138226169.9632417
128,137786033.8189053
256,137016982.7412623
512,136464254.9881868
1024,139787249.3623417
2048,135917605.79277092
4096,141718474.0377703
8192,135563887.8350923
16384,135198129.0282516
32768,152099273.6363613
65536,138480610.2723922
