coherence_time,L2_norm_flow_time
2,113161125.60184732
4,142478424.1177041
8,158926202.84241182
16,173649053.2418133
32,155641015.177757
64,127832409.7370388
128,132599718.90247318
256,89897072.86654249
512,130424970.1457897
1024,90858193.6560913
2048,146637558.9042378
4096,50023138.4565404
8192,253300688.6126184
16384,167348400.7971165
32768,129725859.9324218
65536,180051205.3285765
