frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,13358846.630196,542862.000000,201035.597669
4,13730601.104271,555539.000000,345200.104552
8,13376218.540722,541801.000000,300196.965549
16,13515968.862556,545351.000000,506993.017594
32,13471414.026954,532204.000000,515532.340727
64,14127432.559944,535869.000000,678112.987867
128,13500364.611795,545250.000000,444186.258823
256,13925674.103065,542541.000000,1228335.302924
512,14334750.604957,551692.000000,1110697.402962
1024,12657436.808032,523469.000000,1617881.147859
2048,15709718.384273,573078.000000,1972229.785007
4096,15638973.581178,536076.000000,369654.639431
8192,13896433.764475,525510.000000,3549123.404240
16384,12088096.311867,464301.000000,271737.701479
32768,7163576.713940,380704.000000,699543.573153
65536,15863964.959472,503300.000000,9977111.086309
