frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,13872715.024162,551257.000000,47817.900477
4,13773058.342166,536162.000000,74.444610
8,13650785.704918,549423.000000,589170.685557
16,13516383.992715,535454.000000,79168.817384
32,13652458.955750,548560.000000,303564.951584
64,13890992.125255,550391.000000,531735.655304
128,13748022.552623,533813.000000,667542.704699
256,13253217.599515,530453.000000,1178699.916699
512,13809570.523244,524338.000000,1738079.853603
1024,12619326.516565,509235.000000,795072.786884
2048,11832230.987150,506423.000000,1036687.826742
4096,13170708.181353,524432.000000,5166593.742626
8192,12733181.405656,531540.000000,4874951.191045
16384,12331676.496251,456691.000000,4964690.277387
32768,23441050.602915,731505.000000,7783864.320524
65536,9065675.186225,413344.000000,0.000000
