frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,13482715.593989,537854.000000,533.944754
4,13199761.125470,543997.000000,1578.596212
8,13709594.266148,550323.000000,451814.898120
16,13913624.169866,546414.000000,53746.400577
32,14112463.950296,548869.000000,752270.531720
64,14362670.640757,538526.000000,835992.499902
128,13795254.453311,541475.000000,502989.023150
256,14028123.867710,541420.000000,712864.334365
512,13941985.163968,543961.000000,2362781.157057
1024,15352960.181978,574943.000000,2012766.103608
2048,13641754.282574,532883.000000,3612794.299984
4096,13896288.830814,529288.000000,6549083.101168
8192,11752454.583933,474047.000000,5888151.430315
16384,16785568.190967,540840.000000,3000988.570438
32768,11453047.538866,390518.000000,862636.272310
65536,12199823.766154,428094.000000,9264032.657183
