arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
38.0,4.073,262144,164150.90578184454
38.0,4.639,32768,99033.1355052439
38.0,5.649,4096,90478.63359379384
38.0,7.918,512,49916.32905172415
38.0,16.772,64,29227.451496837693
