arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
26.0,4.073,262144,732457.4559843049
26.0,4.639,32768,854960.0410913951
26.0,5.649,4096,2417836.764833598
26.0,7.918,512,7309743.983178617
26.0,16.772,64,12725459.610394942
