arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
20.0,4.073,262144,2585668.366221972
20.0,4.639,32768,4234484.892677503
20.0,5.649,4096,8799941.919603504
20.0,7.918,512,14625195.458513059
20.0,16.772,64,27774644.571728278
