arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
34.0,4.073,262144,189846.54179626238
34.0,4.639,32768,245692.58223845504
34.0,5.649,4096,128877.23558099777
34.0,7.918,512,96457.50469507284
34.0,16.772,64,57899.15241175815
