arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
38.0,4.073,262144,259211.10235096028
38.0,4.639,32768,137157.61083148103
38.0,5.649,4096,74170.88987601537
38.0,7.918,512,47814.628859795615
38.0,16.772,64,28856.703675229437
