arrival_rate,bp_parameter_L,bp_parameter_H
28.0,4.073,262144,83838.0950284535
28.0,4.639,32768,367927.03192752774
28.0,5.649,4096,572074.9812393477
28.0,7.918,512,1366741.8066185727
28.0,16.772,64,2478837.4066336015
