arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
30.0,4.073,262144,448511.1176035662
30.0,4.639,32768,263678.0884582562
30.0,5.649,4096,792804.9910476094
30.0,7.918,512,486511.90613488585
30.0,16.772,64,1872728.8078606043
